--PAYEMENT 2020

--JAN
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00001' , 'S001' , 'VSCC', '03-JAN-2020', 369.82);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00002' , 'S001' , 'MSCC', '03-JAN-2020', 357.73);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00003' , 'S001' , 'ONBK', '03-JAN-2020', 362.67);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00004' , 'S001' , 'DBCD', '04-JAN-2020', 542.88);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00005' , 'S001' , 'CASH', '04-JAN-2020', 324.72);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00006' , 'S002' , 'GBAB', '04-JAN-2020', 324.72);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00007' , 'S004' , 'CHEQ', '04-JAN-2020', 312.84);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00008' , 'S005' , 'AECC', '05-JAN-2020', 316.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00009' , 'S003' , 'VSCC', '05-JAN-2020', 390.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00010' , 'S003' , 'CHEQ', '05-JAN-2020', 324.72);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00011' , 'S003' , 'CASH', '06-JAN-2020', 316.80);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00012' , 'S003' , 'DBCD', '06-JAN-2020', 554.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00013' , 'S002' , 'MSCC', '06-JAN-2020', 390.32);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00014' , 'S002' , 'AECC', '07-JAN-2020', 371.28);
insert into Payment values (CONCAT('PR',TO_CHAR(SEQ_PAYREF_NO.NEXTVAL, 'fm000000')), 'R00015' , 'S002' , 'CASH', '07-JAN-2020', 444.80);
