-- JAN
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00001', 1, '01-JAN-2020', '03-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00002', 2, '01-JAN-2020', '03-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00003', 3, '01-JAN-2020', '03-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00004', 4, '02-JAN-2020', '04-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00005', 5, '02-JAN-2020', '04-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00006', 6, '02-JAN-2020', '04-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00007', 7, '02-JAN-2020', '04-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00008', 8, '03-JAN-2020', '05-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00009', 9, '03-JAN-2020', '05-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00010', 10, '03-JAN-2020', '05-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00011', 11, '04-JAN-2020', '06-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00012', 12, '04-JAN-2020', '06-JAN-2020' , 2);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00013', 13, '04-JAN-2020', '06-JAN-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00014', 14, '05-JAN-2020', '07-JAN-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00015', 15, '05-JAN-2020', '07-JAN-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00016', 16, '05-JAN-2020', '07-JAN-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00017', 17, '06-JAN-2020', '08-JAN-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00018', 18, '06-JAN-2020', '08-JAN-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00019', 19, '06-JAN-2020', '08-JAN-2020' , 4);
insert into RoomLeased values (SEQ_ROOMLEASED_ID.NEXTVAL, 'R00020', 20, '07-JAN-2020', '09-JAN-2020' , 4);
